项目名称,状态,优先级,归属领域,上次推进日期,时间范围,项目目标
建·轻耕,已完成,高,跨域,2026年4月11日,2026年4月11日,翻耕轻量化后续：①试跑新翻耕看手感 ②归制（研究技能页等）同步瘦身 ③镜照页补全（Voice DNA观察+坐标库发现+角色唤醒模式） ④聊「新的一步」——土壤而非鞭子
学·DSA,进行中,高,代码,2026年4月8日,2026年3月5日,系统学习数据结构与算法，建立扎实的 CS 基础能力，支撑编码面试与工程实践
研·Coding Plan 选型,已完成,高,代码,2026年3月28日,2026年3月16日,建立7维评估框架，对纯模型即服务Coding Plan进行结构性选型研究，支持月/季度定期更新
研·招聘结构性缺陷,已完成,高,跨域,2026年3月28日,2026年3月13日,研究大企业/传统企业招聘体系的结构性问题：系统性筛除了什么机制、什么特质的人才，以及可能的替代模型
建·技术栈路线,进行中,高,代码,2026年3月26日,2026年3月5日,跟随 http://roadmap.sh 等路线图，系统补齐技术栈短板（后端/全栈/DevOps），形成可展示的技能地图
学·Claude Code,进行中,高,黑客,2026年3月25日,,系统掌握 Claude Code 的核心能力与高效使用方法：上下文管理、模型路由、Skills/Hooks/MCP 扩展机制、prompt 工程、成本优化，建立可复用的工作流和 http://CLAUDE.md 配置体系
学·CS101,已完成,高,黑客,2026年3月8日,2026年3月4日 → 2026年3月10日,完成 TryHackMe Cyber Security 101 学习路径
学·冲刺安全,已完成,高,黑客,2026年3月3日,2026年2月27日 → 2026年3月1日,3天内完成TryHackMe Pre Security剩余50%（19个房间：Module 4-7），周日前拿到证书
学·量化 Alpha 研究,进行中,中,因子,2026年4月20日,2026年3月13日,系统学习量化 alpha 研究的四个知识域（Alpha 设计 / 统计验证 / 金融直觉 / 风险与组合），从 Finding Alphas + Learn2Quant 起步，逐步建立判断力：能区分真信号与统计噪声，能解释 alpha 为什么有效。
推·WQB量化,进行中,中,因子,2026年4月20日,,在WorldQuant Brain平台推进因子研究，提交可回测的Alpha因子
学·Security Engineer,进行中,中,黑客,2026年4月3日,,完成 THM Security Engineer 路径，建立安全工程全景认知（安全原则·密码学·身份管理·威胁风险·网系安全·软件安全·事件响应·OWASP Top 10）
学·Hello 算法,进行中,中,代码,2026年4月1日,2026年3月28日,系统学习 Hello 算法（http://hello-algo.com）的数据结构与算法理论，补足 DSA 刷题之外的原理认知，建立从「会用」到「懂为什么」的完整知识体系
建·个人页面,进行中,中,作品,2026年3月28日,,用坐标数据库构建个人页面，替代传统简历和作品集，展示核心经历、认知转折与特质
研·AI编程失败机制与设计原则框架,进行中,中,代码,2026年3月28日,,系统梳理AI编程的失败机制分类学（4层20条）与设计原则（10条+6种验证模式），建立可引用的决策框架
研·行业招聘,进行中,中,跨域,2026年3月28日,,深入理解目标行业（网安/量化/设计）的招聘逻辑、渠道、要求，建立接入路径
研·霍尔木兹冲击传导与个体应对,已完成,中,跨域,2026年3月23日,,拆解Dalio Big Cycle框架的机制缺口，定位2026霍尔木兹冲击在历史坐标中的位置，推导有认知但无大额资本的个体的有效行动
推·自媒体,进行中,中,作品,2026年4月25日,2026年2月24日 → 2026年3月31日,以「禾集」为对外名，推动觉知→创造→发布的持续流程从 0 到 1 跑通；重点不是发出第一条，而是让选题、结撰、编校、赋形、发布适配与复盘形成可持续链路。
研·网页搜索边界,已完成,中,跨域,2026年3月17日,,测绘 Notion AI 网页搜索工具的覆盖边界——基于 IAB v3.0 全部40个 Tier-1 类别的逐类实测，产出完整边界地图
学·SoC L1,进行中,中,黑客,2026年3月12日,2026年3月9日,完成 TryHackMe SOC Level 1 学习路径，建立安全运营中心一级分析师的核心技能体系
建·补剂管理,已完成,中,行动,2026年2月26日,2026年2月26日 → 2026年2月28日,建立维生素补充剂的系统化管理与记录流程，定期复盘效果
学·Jr渗透,进行中,中,黑客,,,
探·AI文本对比技能应用场景,进行中,低,跨域,2026年4月10日,,探索指挥家「同时 view 两页 → 聊天内 diff/结构对比」能力的实际应用场景，建立可复用的对比请求模板
建·语境技能,已归档,低,跨域,2026年4月25日,,已从项目层退出，转为长期线索「语境技能苗圃」承接；持续识别并固化可复用的人机协作模式，不再按冲刺项目推进。
探·合约预扫描产品化,待启动,低,黑客,2026年3月6日,,探索将 Web3 安全技能产品化为 AI Skill（MCP server / Claude Skill），提供低成本智能合约预扫描服务
研·猜意,已完成,,跨域,2026年4月18日,,证明一件事：你他妈有嘴能问，但你得先有一段关系，才敢开口。
研·CC源码碰法,已完成,高,跨域,2026年4月23日,,拆读 Claude Code 泄露源码（coordinator / me / MEMDIR / memory types），不求架构鉴赏——从中挖出能改造克谷碰法的东西。上轮已长出三条协作原则，护士长说还没挖完。最终：让你我更舒服。
建·AI实录,已归档,中,,2026年2月26日,2026年1月3日,用语境库的提示词跑各AI，忠实记录当下回复，不评判不排名，积累真实快照
建·笔记迁移,已归档,低,,2026年2月26日,,将原子笔记存档内容逐块审查，有价值的细节（锻炼动作、护理流程、课程清单等）补充进现有行动模板页面，重复或过时内容丢弃，整理完成后归档或删除存档页
建·问候语系统,已归档,低,,2026年2月26日,,优化问候语素材库与编排流程，建立系统化的内容生产与质量管理机制
建·技术雷达,已归档,中,,2026年2月26日,2026年1月3日,建立个人技术演进地图，融合前辈经验与个人实践，形成动态更新的技术资源库
